last_name,first_name,state,filing_year
Harder,Josh,CA,2025
Haridopolos,Mike,FL,2025
Harrigan,Pat,NC,2025
Harris,Andy,MD,2025
Harris,Mark,NC,2025
Harshbarger,Diana,TN,2025
Hassan,Margaret Wood,NH,2026
Hawley,Josh,MO,2026
Hayes,Jahana,CT,2025
Heinrich,Martin,NM,2026
Hern,Kevin,OK,2025
Hernandez,Pablo Jose,PR,2025
Hickenlooper,John W.,CO,2026
Higgins,Clay,LA,2025
Hill,J. French,AR,2025
Himes,James A.,CT,2025
Arenholz,Ashley,IA,2025
Hirono,Mazie K.,HI,2026
Hoeven,John,ND,2026
Horsford,Steven,NV,2025
Houchin,Erin,IN,2025
Houlahan,Chrissy,PA,2025
Hoyer,Steny H.,MD,2025
Hoyle,Val T.,OR,2025
Hudson,Richard,NC,2025
Huffman,Jared,CA,2025
Huizenga,Bill,MI,2025
Hunt,Wesley,TX,2025
Hurd,Jeff,CO,2025
Husted,Jon,OH,2026
Hyde-Smith,Cindy,MS,2026
Issa,Darrell,CA,2025
Ivey,Glenn,MD,2025
Jack,Brian,GA,2025
Jackson,Jonathan L.,IL,2025
Jackson,Ronny,TX,2025
Jacobs,Sara,CA,2025
James,John,MI,2025
Jayapal,Pramila,WA,2025
Jeffries,Hakeem S.,NY,2025
Johnson,Dusty,SD,2025
Johnson,"Henry C. ""Hank""",GA,2025
Johnson,Julie,TX,2025
Johnson,Mike,LA,2025
Johnson,Ron,WI,2026
Jordan,Jim,OH,2025
Joyce,David P.,OH,2025
Joyce,John,PA,2025
Justice,James C.,WV,2026
Kaine,Tim,VA,2026
Kamlager-Dove,Sydney,CA,2025
Kaptur,Marcy,OH,2025
Kean,Thomas H.,NJ,2025
Keating,William R.,MA,2025
Kelly,Mark,AZ,2026
Kelly,Mike,PA,2025
Kelly,Robin L.,IL,2025
Kelly,Trent,MS,2025
Kennedy,John,LA,2026
Kennedy,Mike,UT,2025
Kennedy,Timothy M.,NY,2025
Khanna,Ro,CA,2025
Kiggans,Jennifer A.,VA,2025
Kiley,Kevin,CA,2025
Kim,Andy,NJ,2026
Kim,Young,CA,2025
King,Angus S.,ME,2026
King-Hinds,Kimberlyn,MP,2025
Klobuchar,Amy,MN,2026
Knott,Brad,NC,2025
Krishnamoorthi,Raja,IL,2025
Kustoff,David,TN,2025
LaHood,Darin,IL,2025
LaLota,Nick,NY,2025
Landsman,Greg,OH,2025
Langworthy,Nicholas A.,NY,2025
Lankford,James,OK,2026
Larsen,Rick,WA,2025
Larson,John B.,CT,2025
Latimer,George,NY,2025
Latta,Robert E.,OH,2025
Lawler,Michael,NY,2025
Lee,Laurel M.,FL,2025
Lee,Mike,UT,2026
Lee,Summer L.,PA,2025
Lee,Susie,NV,2025
Leger Fernandez,Teresa,NM,2025
Letlow,Julia,LA,2025
Levin,Mike,CA,2025
Liccardo,Sam T.,CA,2025
Lieu,Ted,CA,2025
Lofgren,Zoe,CA,2025
Loudermilk,Barry,GA,2025
Lucas,Frank D.,OK,2025
Lummis,Cynthia M.,WY,2026
Paulina Luna,Anna,FL,2025
Luttrell,Morgan,TX,2025
Lynch,Stephen F.,MA,2025
Mace,Nancy,SC,2025
Mackenzie,Ryan,PA,2025
Magaziner,Seth,RI,2025
Malliotakis,Nicole,NY,2025
Maloy,Celeste,UT,2025
Mann,Tracey,KS,2025
Mannion,John W.,NY,2025
Markey,Edward J.,MA,2026
Marshall,Roger,KS,2026
Massie,Thomas,KY,2025
Mast,Brian J.,FL,2025
Matsui,Doris O.,CA,2025
McBath,Lucy,GA,2025
McBride,Sarah,DE,2025
Delaney,April,MD,2025
McClain,Lisa C.,MI,2025
McClellan,Jennifer L.,VA,2025
McClintock,Tom,CA,2025
McCollum,Betty,MN,2025
McConnell,Mitch,KY,2026
McCormick,David,PA,2026
McCormick,Richard,GA,2025
McDonald Rivet,Kristen,MI,2025
McDowell,Addison P.,NC,2025
McGarvey,Morgan,KY,2025
McGovern,James P.,MA,2025
McGuire,John J.,VA,2025
McIver,LaMonica,NJ,2025
Meeks,Gregory W.,NY,2025
Menefee,Christian D.,TX,2025
Menendez,Robert,NJ,2025
Meng,Grace,NY,2025
