8.19,GOBSX - BrandywineGLOBAL - Global Opportunities Bond Fund - Class IS,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Dividends, Interest","$201 - $1,000"
9,Commonwealth IRA,Retirement PlansIRA,Self,--,,
9.1,FBKWX - Fidelity Advisor Total Bond Fund Class Z,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
9.2,Fidelity Conservative Income Bond Cl Z,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
9.3,Fidelity Money Market Premium,Mutual FundsMutual Fund,Self,"$15,001 - $50,000",Interest,"$201 - $1,000"
9.4,First Trust Value Line Dividend Index Fund,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends, Capital Gains","$1,001 - $2,500"
9.5,"GABC - German American Bancorp, Inc. - Common Stock",Corporate SecuritiesStock,Self,"$1,001 - $15,000","Dividends, Capital Gains","$201 - $1,000"
9.6,GTSCX - Glenmede Small Capitalization Equity Portfolio I,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
9.7,Invesco Oppenheimer International Growth Cl Y,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
9.8,WOBDX - Jpmorgan Core Bond Fund I Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
9.9,MFEIX - MFS Growth Fund Class I,Mutual FundsMutual Fund,Self,"$100,001 - $250,000","Dividends, Capital Gains",None (or less than $201)
9.10,OAYIX - Oakmark International Fund Advisor Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
9.11,PDGIX - T. Rowe Price Dividend Growth Fund - I Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains","$201 - $1,000"
9.12,TEGYX - Touchstone Mid Cap Growth Class Y,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Dividends, Capital Gains",None (or less than $201)
9.13,WICVX - Wasatch Small Cap Value Fund Institutional Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
10,Commonwealth SEP IRA,Retirement PlansIRA,Self,--,,
10.1,Fidelity Conservative Income Bond Fund Cl Z,Mutual FundsMutual Fund,Self,"None (or less than $1,001)","Dividends, Capital Gains",None (or less than $201)
10.2,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
10.3,FSPGX - Fidelity Large Cap Growth Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
10.4,FLCOX - Fidelity Large Cap Value Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
10.5,FSMDX - Fidelity Mid Cap Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Dividends, Capital Gains",None (or less than $201)
