8.2,QCGRPX-CREF Growth Account - R2,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.3,Nuveen Intl Eq-Rtmt,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
8.4,Nuveen Lg-Cap Val-Rtmt,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.5,Nuveen Mid Cap Val Rtmt,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.6,Nuveen Lg-Cap Val Idx-Rtmt,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
8.7,Nuv Qnt Sm-Cap Eq-Rtmt,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.8,Nuveen Em Mrkts Eq Rtmt,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
8.9,QREARX - TIAA Real Estate Account,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.10,Nuveen High-Yield-Rtmt,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.11,Nuveen Short-Term Bond-Rtmt,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
8.12,Nuveen Infl Link Bd Rtmt,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.13,Nuveen Core Bond Rtmt,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000",Excepted Investment Fund,None (or less than $201)
8.14,Nuveen Core Imp Bond Rtmt,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000",Excepted Investment Fund,None (or less than $201)
9,"Citibank(New York, NY)Type: Certificate of Deposit, Savings",Bank Deposit,Joint,"$15,001 - $50,000",None,None (or less than $201)
10,"NEH 3 LLCCompany: NEH 3 LLC (Brooklyn, NY) Description: Writer Filer comment:  Entity established to receive income from book pursuant to agreement listed on Part 9, line 2.",Business EntityLimited Liability Company (LLC),Spouse,"$100,001 - $250,000",Other (Ordinary Business Income),"Other $100,001.00"
11,"NEH 3 LLCCompany: NEH 3 LLC (Brooklyn, NY) Description: Writer Filer comment:  Entity established to receive income from book pursuant to agreement listed on Part 9, line 2.",Business EntityLimited Liability Company (LLC),Self,"$100,001 - $250,000",Other (Ordinary Business Income),"Other $100,001.00"
12,"TIAA Brokerage DGVMM - Dreyfus Govt Cash Mgmt Investor Shs(Charlotte, NC)Type: Money Market Account",Bank Deposit,Joint,"$250,001 - $500,000",Interest,"$201 - $1,000"
