last_name,first_name,party,state,filing_year,link
Budd,Ted,R,NC,2024,https://efdsearch.senate.gov/search/view/annual/ac4f24bc-25fa-4821-80ca-0aa41539710d/
Budzinski,Nikki,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059128.pdf
Burchett,Tim,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057335.pdf
Burgess,Michael C.,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060806.pdf
Burlison,Eric,R,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062690.pdf
Bush,Cori,D,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061337.pdf
Butler,Laphonza R.,D,CA,2024,https://efdsearch.senate.gov/search/view/annual/ede91fb4-df19-4993-bf20-c86b03143458/
Calvert,Ken,R,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060206.pdf
Cammack,Kat,R,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060622.pdf
Cantwell,Maria,D,WA,2024,https://efdsearch.senate.gov/search/view/annual/4c6dee46-2f1c-41ba-bd01-1c8dce1349bf/
Capito,Shelley Moore,R,WV,2024,https://efdsearch.senate.gov/search/view/annual/1fc99b72-3465-4ff7-808c-80b7283cd6d2/
Caraveo,Yadira,D,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057540.pdf
Carbajal,Salud O.,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060345.pdf
Cardin,Benjamin L.,D,MD,2024,https://efdsearch.senate.gov/search/view/annual/3e3a7b84-38b9-49ab-80a8-89622e29b6f8/
Carey,Mike,R,OH,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060281.pdf
Carl,Jerry L.,R,AL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060508.pdf
Carper,Thomas R.,D,DE,2024,https://efdsearch.senate.gov/search/view/annual/04db916f-2633-4633-ac3d-3fbda2e9c134/
Carson,André,D,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060751.pdf
Carter,"Earl L. ""Buddy""",R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059359.pdf
Carter,John R.,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057735.pdf
Carter,Troy A.,D,LA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220481.pdf
Cartwright,Matt,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059028.pdf
Casar,Greg,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059479.pdf
Case,Ed,D,HI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060408.pdf
Casey,Robert P.,D,PA,2024,https://efdsearch.senate.gov/search/view/annual/f80907e1-7f43-4db1-8dda-28d885483742/
Cassidy,Bill,R,LA,2024,https://efdsearch.senate.gov/search/view/annual/878c4bde-388b-453b-8a38-b753aa618074/
Casten,Sean,D,IL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057544.pdf
Castor,Kathy,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059113.pdf
Castro,Joaquin,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220605.pdf
Chavez-DeRemer,Lori,R,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060899.pdf
Cherfilus-McCormick,Sheila,D,FL,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059703.pdf
Chu,Judy,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059071.pdf
Ciscomani,Juan,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059453.pdf
Clark,Katherine M.,D,MA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059034.pdf
Clarke,Yvette D.,D,NY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062455.pdf
Cleaver,Emanuel,D,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059684.pdf
Cline,Ben,R,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059793.pdf
Cloud,Michael,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059227.pdf
Clyburn,James E.,D,SC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060249.pdf
Clyde,Andrew S.,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061852.pdf
Cohen,Steve,D,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060314.pdf
Cole,Tom,R,OK,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061100.pdf
Collins,Mike,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060539.pdf
Collins,Susan M.,R,ME,2024,https://efdsearch.senate.gov/search/view/annual/f2f01d23-0af5-4958-984c-e97e7b2f8544/
Comer,James,R,KY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060545.pdf
Connolly,Gerald E.,D,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057570.pdf
Coons,Christopher A.,D,DE,2024,https://efdsearch.senate.gov/search/view/annual/dd3245e1-b4c3-4196-882a-4012cf2bd524/
Cornyn,John,R,TX,2024,https://efdsearch.senate.gov/search/view/annual/7f1d97b6-ee67-4358-8116-9d20d440f90b/
Correa,J. Luis,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059001.pdf
Cortez Masto,Catherine,D,NV,2024,https://efdsearch.senate.gov/search/view/annual/a8706c27-3a15-492e-8d3b-86a35d631ce0/
Costa,Jim,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060909.pdf
Cotton,Tom,R,AR,2024,https://efdsearch.senate.gov/search/view/annual/1ecc063e-2ddb-467a-a938-c6f677662b95/
Courtney,Joe,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057521.pdf
Craig,Angie,D,MN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220496.pdf
Cramer,Kevin,R,ND,2024,https://efdsearch.senate.gov/search/view/annual/9025ef30-3182-4f55-98fd-cdf184ddd34b/
Crane,Elijah,R,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060393.pdf
Crapo,Mike,R,ID,2024,https://efdsearch.senate.gov/search/view/annual/0e3b35aa-e3be-4524-a1d0-00f8f10c2fe2/
Crawford,"Eric A. ""Rick""",R,AR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057567.pdf
Crenshaw,Dan,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062732.pdf
Crockett,Jasmine,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061435.pdf
Crow,Jason,D,CO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059547.pdf
