1.1.7.1,"Merrill Lynch #1.1.7.1(Pennington, NJ)Type: Brokerage Sweep Account",Bank Deposit,Self,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
1.1.7.2,Morgan Stanley #1.1.7.2,Brokerage/Managed Account,Self,--,,
1.1.7.2.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Self,"$50,001 - $100,000",Interest,"$201 - $1,000"
1.1.7.2.2,MUAIX - Ultra Short Income Portfolio - Class AFiler comment:  Money Market Mutual Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000",Excepted Investment Fund,"$201 - $1,000"
1.1.7.3,"Note Receivable - Little Belt Cattle Company LLCCompany: Little Belt Cattle Company LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$500,001 - $1,000,000",Interest,"$15,001 - $50,000"
1.1.7.4,"Interest in Blackstone Growth L.P.Description: Private Equity Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$2,501 - $5,000"
1.1.7.5,"Interest in Flint Hills Founders II, L.P.Description: Venture Capital Fund (Bozeman, MT)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$2,501 - $5,000"
1.1.7.6,"Interest in Next Frontier Fund III, L.P.Description: Venture Capital Fund (Bozeman, MT)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$201 - $1,000"
1.1.7.7,"Interest in Next Frontier Fund IV, L.P.Description: Venture Capital Fund (Bozeman, MT)",Investment FundPrivate Equity Fund,Self,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
1.1.7.8,"Interest in Max Ventures Fund II, L.P.Description: Venture Capital Fund (New York, NY)",Investment FundPrivate Equity Fund,Self,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
1.1.7.9,"Max Ventures New World Opportunities Fund, L.P.Company: Max Ventures New World Opportunities Fund, L.P. (New York, NY) Description: Venture capital fund Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Partnership (LP),Self,--,,
1.1.7.9.1,"Bozburun, Inc. (dba Toolio)Company: Bozburun, Inc. (dba Toolio) (New York, NY) Description: Contracted Services/Software Development",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.2,"Equestrian Labs, Inc. (dba Corro)Company: Equestrian Labs, Inc. (dba Corro) (New York, NY) Description: Ecommerce",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.3,"Heartbeat Health Inc.Company: Heartbeat Health Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$50,001 - $100,000",None,None (or less than $201)
1.1.7.9.4,"K Health Inc.Company: K Health Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000",None,None (or less than $201)
1.1.7.9.5,"Mindspan Group Inc. Company: Mindspan Group Inc. (New York, NY) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.6,"Sana Labs ABCompany: Sana Labs AB (Stockholm, Sweden) Description: Education/Training",Corporate SecuritiesNon-Public Stock,Self,"None (or less than $1,001)",Capital Gains,"$50,001 - $100,000"
1.1.7.9.7,"Tertulia, Inc. Company: Tertulia, Inc. (New York, NY) Description: App - Book Store/Club",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.8,"Trail Games ABCompany: Trail Games AB (Stockholm, Sweden) Description: Video Games",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.9,"Vori Health Inc.Company: Vori Health Inc. (Nashville, TN) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.9.10,"Zandivio Plc.Company: Zandivio Plc. (Barcelona, Spain) Description: Healthcare",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
1.1.7.10,"Bram Capital Fund LLC - Series ICompany: Bram Capital Fund LLC - Series I (Boston, MA) Description: Private equity fund Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Liability Company (LLC),Self,--,,
1.1.7.10.1,"Pison Technology, Inc.Company: Pison Technology, Inc. (Boston, MA) Description: Gesture Control Devices",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000",None,None (or less than $201)
1.1.7.11,"Hinge Capital LD, L.P.Company: Hinge Capital LD, L.P. (Austin, TX) Description: Private equity fund Filer comment:  Reported values & income of underlying assets reflect filer's ownership %",Business EntityLimited Partnership (LP),Self,--,,
1.1.7.11.1,"Interest in Supplying Demand Inc.Company: Supplying Demand, Inc. (Santa Monica, CA) Description: Beverages",Corporate SecuritiesNon-Public Stock,Self,"$250,001 - $500,000",None,None (or less than $201)
1.1.8,"Ownership Interest in North Summit LLC (Underlying assets reported under filer's ownership)Company: North Summit LLC (Bozeman, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,"None (or less than $1,001)","Rent/Royalties, Interest","$1,001 - $2,500"
1.1.9,"Yellowstone WFH Holdings LLCCompany: Yellowstone WFH Holdings LLC (Belgrade, MT) Description: Residential Apartment Complex",Business EntityLimited Liability Company (LLC),Self,--,,
1.1.9.1,"Multi-Family Residential Rental PropertyDescription: Residential Apartment Complex (Belgrade, MT)",Real EstateCommercial,Self,"$250,001 - $500,000",Rent/Royalties,"$15,001 - $50,000"
1.1.10,"Note Receivable - Bird Point LLCCompany: Bird Point LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,"$100,001 - $1,000,000"
1.1.11,"Note Receivable - Element Aviation Services LLCCompany: Element Aviation Services LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,"$100,001 - $1,000,000"
1.1.12,"Note Receivable - Element Holdings LLCCompany: Element Holdings LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,"$50,001 - $100,000"
1.1.13,"Note Receivable - Half Hitch Big Sky LLCCompany: Half Hitch Big Sky LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$1,000,001 - $5,000,000",Interest,"$50,001 - $100,000"
1.1.14,"Note Receivable - Little Belt Cattle Company LLCCompany: Little Belt Cattle Company LLC (Bozeman, MT)",Accounts ReceivableFrom a Business,Self,"$1,000,001 - $5,000,000",Interest,"$50,001 - $100,000"
1.1.15,Note Receivable - Tim SheehyDebtor: Tim Sheehy,Accounts ReceivableFrom an Individual,Self,"$1,000,001 - $5,000,000",Interest,"$15,001 - $50,000"
2,"Stockman Bank #2(Belgrade, MT)Type: Checking",Bank Deposit,Self,"$50,001 - $100,000",None,None (or less than $201)
3,Merrill Lynch #3,Brokerage/Managed Account,Joint,--,,
3.1,"Merrill Lynch(Pennington, NJ)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings",Bank Deposit,Joint,"$50,001 - $100,000",Interest,None (or less than $201)
4,Morgan Stanley #4,Brokerage/Managed Account,Self,--,,
4.1,"Morgan Stanley(New York, NY)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings",Bank Deposit,Self,"$15,001 - $50,000",Interest,"$15,001 - $50,000"
4.2,IEFA - iShares Core MSCI EAFE ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
4.3,IEMG - iShares Core MSCI Emerging Markets ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,None (or less than $201)
4.4,IVV - iShares Core S&P 500 ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
4.5,IWF - iShares Russell 1000 Growth ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$2,501 - $5,000"
4.6,IWD - iShares Russell 1000 Value ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$1,001 - $2,500"
4.7,IWP - iShares Russell Mid-Cap Growth ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
4.8,IWS - iShares Russell Mid-Cap Value ETF (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
4.9,BSV - Vanguard Short-Term Bond Index Fund - ETF Shares (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$1,001 - $2,500"
4.10,BND - Vanguard Total Bond Market Index Fund - ETF Shares (DISPOSED),Mutual FundsExchange Traded Fund/Note,Self,"None (or less than $1,001)",Excepted Investment Fund,"$5,001 - $15,000"
4.11,MVRXX - Government Portfolio - Institutional Class (DISPOSED)Filer comment:  Money Market Mutual Fund,Mutual FundsMutual Fund,Self,"None (or less than $1,001)",Excepted Investment Fund,"$50,001 - $100,000"
5,"Carmen's Farms, LLCCompany: Carmens' Farms, LLC (Bozeman, MT) Description: Farming and Rental Activities",Business EntityLimited Liability Company (LLC),Joint,--,,
5.1,"Stockman Bank #5.1(Belgrade, MT)Type: Checking",Bank Deposit,Joint,"$15,001 - $50,000",None,None (or less than $201)
5.2,"Equine BoardingCompany: Carmens Farm, LLC (Bozeman, MT) Description: Equine boarding & hay harvesting",Business EntityLimited Liability Company (LLC),Joint,"$100,001 - $250,000",Other (Equine boarding & hay income),"$5,001 - $15,000Other $5,001.00"
5.3,"Residential Rental PropertyCompany: Carmens Farms, LLC (Bozeman, MT) Description: Residential rental property",Business EntityLimited Liability Company (LLC),Joint,"$250,001 - $500,000",Rent/Royalties,"$15,001 - $50,000"
6,"Half Hitch Big Sky, LLCCompany: Half Hitch Big Sky, LLC (Big Sky, MT) Description: Rental Property",Business EntityLimited Liability Company (LLC),Self,--,,
6.1,"First Security Bank #6.1(Bozeman, MT)Type: Checking",Bank Deposit,Self,"$50,001 - $100,000",None,None (or less than $201)
6.2,"Half Hitch Big SkyDescription: Single Family Residential Home (Big Sky, MT) Filer comment:  2025 Property tax assessed value $6,335,800.00 (MT DOR: Assessed value = 100% market value)",Real EstateResidential,Self,"$5,000,001 - $25,000,000",Rent/Royalties,"$50,001 - $100,000"
7,"Bird Point, LLCCompany: Bird Point, LLC (Bozeman, MT) Description: Rental Property",Business EntityLimited Liability Company (LLC),Self,--,,
7.1,"Stockman Bank #7.1(Belgrade, MT)Type: Checking",Bank Deposit,Self,"$15,001 - $50,000",None,None (or less than $201)
7.2,"Bird Point (DISPOSED)Description: Single Family Residential Home and Cabins (Polson, MT)",Real EstateResidential,Self,"None (or less than $1,001)",Rent/Royalties,"$5,001 - $15,000"
7.3,"Note Receivable - DNA Way, LLCCompany: DNA Way, LLC (Sheridan, WY)",Accounts ReceivableFrom a Business,Self,"$5,000,001 - $25,000,000",Interest,None (or less than $201)
8,"Little Belt Feeders, LLCCompany: Little Belt Feeders, LLC (Bozeman, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
8.1,"Note Receivable - Stovall Ranches LLCCompany: Stovall Ranches LLC (Billings, MT)",Accounts ReceivableFrom a Business,Self,"$500,001 - $1,000,000",Interest,"$15,001 - $50,000"
9,"North Summit, LLCCompany: North Summit, LLC (Bozeman, MT) Description: Holding Company Filer comment:  Reported values/inc of underlying assets reflect ownership % for filer & Turtle Lake Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
9.1,"Morgan Stanley #9.1(New York, NY)Type: Checking, Money Market Account, Savings",Bank Deposit,Self,"$250,001 - $500,000",Interest,"$5,001 - $15,000"
9.2,"Element Aviation Services, LLCCompany: Element Aviation Services, LLC (Bozeman, MT) Description: Airplane Leasing and Sales",Business EntityLimited Liability Company (LLC),Self,--,,
9.2.1,"Merrill Lynch #9.2.1(Pennington, NJ)Type: Brokerage Sweep Account, Checking, Money Market Account, Savings",Bank Deposit,Self,"$100,001 - $250,000",Interest,None (or less than $201)
9.2.2,"Airplane Leasing & Sales BusinessCompany: Element Aviation Services, LLC (Bozeman, MT) Description: Airplane Leasing and Sales",Business EntityLimited Liability Company (LLC),Self,"None (or less than $1,001)","Rent/Royalties, Interest","$1,000,001 - $5,000,000"
9.2.3,"Morgan Stanley #9.2.3(New York, NY)Type: Checking, Money Market Account, Savings",Bank Deposit,Self,"$1,000,001 - $5,000,000",Interest,"$5,001 - $15,000"
9.2.4,"WBG, LLCCompany: WBG, LLC (Belgrade, MT) Description: Airplane hangar",Business EntityLimited Liability Company (LLC),Self,--,,
9.2.4.1,"First Security Bank(Bozeman, MT)Type: Checking",Bank Deposit,Self,"$15,001 - $50,000",Interest,None (or less than $201)
9.2.4.2,"Airplane HangarDescription: Airplane Hangar (Belgrade, MT)",Real EstateCommercial,Self,"$1,000,001 - $5,000,000",Rent/Royalties,"$2,501 - $5,000"
9.3,"Element Holdings, LLCCompany: Element Holdings, LLC (Bozeman, MT) Description: Family Office Holding Company Filer comment:  Reported values underlying assets reflect filer's ownership %, income reflects filer & kids profit %",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.1,"Merrill Lynch #9.3.1(Pennington, NJ)Type: Checking, Money Market Account, Savings",Bank Deposit,Self,"$1,001 - $15,000",Interest,"$201 - $1,000"
9.3.2,"ElementCompany, LLCCompany: ElementCompany, LLC (Bozeman, MT) Description: Family Office Operating Company",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.1,"Merrill Lynch #9.3.2.1(Pennington, NJ)Type: Checking, Money Market Account, Savings",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
9.3.2.2,"First Security Bank #9.3.2.2(Bozeman, MT)Type: Checking",Bank Deposit,Self,"$15,001 - $50,000",None,None (or less than $201)
9.3.2.3,"Little Belt Land, LLCCompany: Little Belt Land, LLC (Bozeman, MT) Description: Real Property Leasing",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.3.1,"Merrill Lynch #9.3.2.3.1(Pennington, NJ)Type: Checking, Money Market Account, Savings",Bank Deposit,Self,"$15,001 - $50,000",Interest,"$201 - $1,000"
9.3.2.3.2,"Little Belt RanchDescription: Cattle Ranch (Martinsdale, MT) Filer comment:  2025 Property tax assessed value $2,378,229.00 (Montana DOR: Assessed value = 100% market value)",Farm/Ranch,Self,"$500,001 - $1,000,000",None,None (or less than $201)
9.3.2.4,"Little Belt Cattle Company, LLCCompany: Little Belt Cattle Company, LLC (Bozeman, MT) Description: Cattle Ranching",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.4.1,"Stockman Bank #9.3.2.4.1(Belgrade, MT)Type: Checking",Bank Deposit,Self,"$100,001 - $250,000",None,None (or less than $201)
9.3.2.4.2,"LBCC Operating CompanyCompany: Little Belt Cattle Company, LLC (Bozeman, MT) Description: Cattle ranching",Business EntityLimited Liability Company (LLC),Self,"None (or less than $1,001)","Rent/Royalties, Other (Ordinary Income)","$100,001 - $1,000,000Other $100,001.00"
9.3.2.5,"Element Land Airport Road, LLCCompany: Element Land Airport Road, LLC (Bozeman, MT) Description: Rental Property",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.5.1,"First Security Bank #9.3.2.5.1(Bozeman, MT)Type: Checking",Bank Deposit,Self,"$50,001 - $100,000",None,None (or less than $201)
9.3.2.5.2,"Commercial Real EstateDescription: Commercial Real Estate Office Building (Belgrade, MT) Filer comment:  2025 Property tax assessed value $8,619,890 (Montana DOR: Assessed value = 100% market value)",Real EstateCommercial,Self,"$1,000,001 - $5,000,000",Rent/Royalties,"$100,001 - $1,000,000"
9.3.2.6,"Yellowstone WFH Holdings, LLCCompany: Yellowstone WFH Holdings, LLC (Belgrade, MT) Description: Residential Apartment Complex",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.6.1,"Multi-Family Residential Rental PropertyDescription: Residential Apartment Complex (Belgrade, MT)",Real EstateCommercial,Self,"$100,001 - $250,000",Rent/Royalties,"$5,001 - $15,000"
9.3.2.7,"Interest in Wealthlete AlphaCompany: Wealthlete Alpha Fund, L.P. (Princeton, NJ) Description: Bourbon Barrell Buying and Selling",Business EntityLimited Partnership (LP),Self,"$100,001 - $250,000",Capital Gains,None (or less than $201)
9.3.2.8,"Ansett Aerospace Holdings, LLCCompany: Ansett Aerospace Holdings, LLC (Belgrade, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.8.1,"PNC Bank #9.3.2.8.1 (DISPOSED)(Belgrade, MT)Type: Checking",Bank Deposit,Self,"None (or less than $1,001)",None,None (or less than $201)
9.3.2.8.2,"Interest in Regaero Holdings Pty Ltd (DISPOSED)Company: Regaero Holdings Pty Ltd (Melbourne, Australia) Description: Aviation Training Facilities",Corporate SecuritiesNon-Public Stock,Self,"None (or less than $1,001)","Interest, Capital Gains","$100,001 - $1,000,000"
9.3.2.9,"Interest in WCAS XIV Co-Investors, LLCCompany: WCAS XIV Co-Investors, LLC (New York, NY) Description: Co-Investment Fund",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.9.1,"WCAS Light Holdings, LPCompany: WCAS Light Holdings, LP (NEw York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.1.1,"LINQCompany: LINQ (Austin, TX) Description: School Administration Software",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.2,"WCAS Norstella Investor, LPCompany: WCAS Norstella Investor, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.2.1,"NorstellaCompany: Norstella (Yardley, PA) Description: Life Sciences Technology Company",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.3,"WCAS XIV Primary Care Investors, LPCompany: WCAS XIV Primary Care Investors, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.3.1,"Primary Care Parent II, LLCCompany: Primary Care Parent II, LLC (Louisville, KY) Description: Joint Venture Healthcare Provider",Business EntityLimited Liability Company (LLC),Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.4,"Project Freedom Holdings, LLCCompany: Project Freedom Holdings, LLC (New York, NY) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.9.4.1,"Liberty Dental Plan CorporationCompany: Liberty Dental Plan Corporation (Irvine, CA) Description: Dental Benefits Management",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.5,"Crow River Holdings, LPCompany: Crow River Holdings, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.5.1,"ImageTrend, Inc.Company: ImageTrend, Inc. (Eagan, MN) Description: Emergency Management Software",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.6,"WCAS Alliance Co-Investment, LLCCompany: WCAS Alliance Co-Investment, LLC (New York, NY) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.9.6.1,"AssistRXCompany: AssistRX (Orlando, FL) Description: Healthcare Technology",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.7,"WCAS EquiLend Aggregator, LPCompany: WCAS EquiLend Aggregator, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.7.1,"EquiLendCompany: EquiLend (New York, NY) Description: Securities Lending Technology",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.8,"WCAS XIV VBC Holdings, LPCompany: WCAS XIV VBC Holdings, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.8.1,"ValtruisDescription: Valtruis (New York, NY)",Investment FundPrivate Equity Fund,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.9,"Seminole Holdco, LPCompany: Seminole Holdco, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.9.1,"Constitution Surgery AllianceCompany: Constitution Surgery Alliance (Avon, CT) Description: Healthcare Company",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.10,"G702 Holdings, LPCompany: G702 Holdings, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.10.1,"AIA Contract DocumentsCompany: AIA Contract Documents (Washington, DC) Description: Construction contract software",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.9.11,"Three Rivers Aggregator, LPCompany: Three Rivers Aggregator, LP (New York, NY) Description: Holding Company",Business EntityLimited Partnership (LP),Self,--,,
9.3.2.9.11.1,"Grant Street GroupCompany: Grant Street Group (Pittsburgh, PA) Description: Software Company",Corporate SecuritiesNon-Public Stock,Self,"$1,001 - $15,000",None,None (or less than $201)
9.3.2.10,"Cloverly Inc.Company: Cloverly Inc. (Atlanta, GA) Description: Carbon Trading Platform",Corporate SecuritiesNon-Public Stock,Self,"$50,001 - $100,000",None,None (or less than $201)
9.3.2.11,"Working InterestDescription: Working Interest in Oil & Gas Wells (Permian, TX)",Real EstateMineral Rights,Self,"$15,001 - $50,000",Rent/Royalties,"$2,501 - $5,000"
9.3.2.12,"Interest in LKN NC Intterra Holdings, LLCCompany: LKN NC Intterra Holdings, LLC (Bozeman, MT) Description: Holding Company",Business EntityLimited Liability Company (LLC),Self,--,,
9.3.2.12.1,"Investment in Emberline Fire EMC LLCCompany: Emberline Fire EMC LLC (Bozeman, MT) Description: Investment",Business EntityLimited Liability Company (LLC),Self,"$250,001 - $500,000",None,None (or less than $201)
9.3.2.13,Morgan Stanley #9.3.2.13,Brokerage/Managed Account,Self,--,,
