2.29,Scotts Bluff County General Obligation BondRate/Coupon: 1.7%  Matures: 01/15/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$201 - $1,000"
2.30,SPY - S&P 500 SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.31,SPYV - SPDR S&P 500 Value Portfolio ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.32,SLYV - S&P Smallcap Value ETF SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$5,001 - $15,000"
2.33,MDY - S&P Midcap 400 SPDR,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.34,Stanton County Neb Util Revenue Bond Rate/Coupon: 1.7%  Matures: 06/01/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
2.35,VTEB - Vanguard Tax-Exempt Bond ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$50,001 - $100,000"
2.36,VOO - Vanguard S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$2,501 - $5,000"
2.37,Schwab U.S. TIPS ETF (SCHP),Mutual FundsExchange Traded Fund/Note,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$2,501 - $5,000"
2.38,Vanguard Total Bond Market Index Fund (BND),Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.39,DFGBX - Dfa Five-Year Global Fixed Income Portfolio,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
2.40,DFEM - Dimensional Emerging Markets Core Equity 2 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
2.41,DUHP - Dimensional US High Profitability ETF,Mutual FundsExchange Traded Fund/Note,Joint,"None (or less than $1,001)",Excepted Investment Fund,"$201 - $1,000"
2.42,MBB - iShares MBS ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$15,001 - $50,000"
2.43,QUAL - iShares MSCI USA Quality Factor ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$201 - $1,000"
3,UBS Account 6,Brokerage/Managed Account,Spouse,--,,
3.1,Chatham County NC Limited Obligation BondRate/Coupon: 5.0%  Matures: 11/01/2031,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
3.2,Florida St Bd of Educ Revenue BondRate/Coupon: 5.0%  Matures: 06/01/2032,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
3.3,Florida St Rt of Way Construction Ref BondRate/Coupon: 5.0%  Matures: 06/01/2030,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
3.4,Hennepin County MN General Obligation BondRate/Coupon: 5.0%  Matures: 12/01/2032,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
3.5,Jefferson County CO Sch Dist Revenue BondRate/Coupon: 4.0%  Matures: 12/15/2033,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
3.6,Liberty Hill TX Indpt Sch Dist Revenue BondRate/Coupon: 5.0%  Matures: 02/01/2032,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
3.7,Maricopa County AZ Sch Dist Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2027,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
3.8,Metropolitan Govt Nashville & Davidson TN Water & Sewer Revenue BondRate/Coupon: 5.0%  Matures: 07/01/2033,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$1,001 - $2,500"
3.9,"Merrill Lynch(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"$15,001 - $50,000",Interest,"$15,001 - $50,000"
3.10,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2032,Government SecuritiesMunicipal Security,Spouse,"$15,001 - $50,000",Interest,"$1,001 - $2,500"
3.11,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2032,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
3.12,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2032,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
3.13,New York NY Transition Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/01/2037,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
3.14,New York St Dorm Auth Revenue BondRate/Coupon: 5.0%  Matures: 03/15/2034,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
3.15,New York St Dorm Auth Revenue BondRate/Coupon: 5.0%  Matures: 03/15/2029,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
3.16,Richland County SC Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 03/01/2025Filer comment:  Matured,Government SecuritiesMunicipal Security,Spouse,"None (or less than $1,001)",Interest,"$201 - $1,000"
3.17,Texas Water Dev Brd Revenue BondRate/Coupon: 4.55%  Matures: 10/15/2038,Government SecuritiesMunicipal Security,Spouse,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
3.18,"U.S. Treasury Note 11/15/2032Rate/Coupon: None  Matures: NoneFiler comment:  4.125%, 11/15/2032",Government SecuritiesUS Treasury/Agency Security,Spouse,"$250,001 - $500,000",Interest,"$5,001 - $15,000"
3.19,Univ of Wyoming Revenue BondRate/Coupon: 4.0%  Matures: 06/01/2038,Government SecuritiesMunicipal Security,Spouse,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
