1,"Comerica Bank(Dallas, Texas)Type: Checking",Bank Deposit,Self,"$250,001 - $500,000",Interest,None (or less than $201)
2,"Comerica Bank(Dallas, Texas)Type: Savings",Bank Deposit,Self,"$1,001 - $15,000",Interest,None (or less than $201)
3,International Business Machines Corporation (IBM),Corporate SecuritiesStock,Self,"$15,001 - $50,000",Dividends,"$1,001 - $2,500"
4,"PNC Bank(Pittsburgh, Pennsylvania)Type: Checking",Bank Deposit,Self,"$50,001 - $100,000",Interest,None (or less than $201)
5,"KD - Kyndryl Holdings, Inc. Common Stock",Corporate SecuritiesStock,Self,"None (or less than $1,001)",Interest,None (or less than $201)
6,"PNC Bank(Pittsburgh, Pennsylvania)Type: Money Market Account",Bank Deposit,Self,"$1,001 - $15,000",None,None (or less than $201)
