last_name,first_name,party,state,chamber,congress_status,owner,filing_year,link,triggered_terms,matched_asset_names
Tlaib,Rashida,D,MI,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074621.pdf,"bitcoin, ibit, grayscale, ethereum","Schwab Rollover Traditional IRA ⇒ iShares Bitcoin Trust ETF (IBIT) [EF], Schwab Roth Contributory IRA ⇒ Grayscale Ethereum Staking Mini ETF Shares (ETH) [ST], Schwab Roth Contributory IRA ⇒ iShares Bitcoin Trust ETF (IBIT) [ST], Schwab Roth Contributory IRA ⇒ iShares Bitcoin Trust ETF (IBIT) [EF]"
Tran,Derek,D,CA,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074943.pdf,"cryptocurrency, coinbase, binance","Coinbase cryptocurrency wallet, Binance cryptocurrency wallet"
Van Drew,Jefferson,R,NJ,house,current,True,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116169.pdf,grayscale (handwritten disclosure exception),Grayscale Investment Trust
Vance,J. D.,R,OH,senate,past,True,2024,https://efdsearch.senate.gov/search/view/annual/2f2f5bbc-50c5-4b00-acd9-85870f9e349c/,coinbase,BTCExchange/Platform: Coinbase
Waltz,Michael,R,FL,house,past,True,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057260.pdf,bitcoin,"Bitcoin [OT], Cresset Investment Account => Wise Origin Bitcoin Index Fund I, LP [HE]"
Adams,Alma S.,D,NC,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077643.pdf,,
Aderholt,Robert B.,R,AL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078366.pdf,,
Aguilar,Pete,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076409.pdf,,
Alford,Mark,R,MO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076207.pdf,,
Allen,Rick W.,R,GA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074380.pdf,,
Allred,Colin Z.,D,TX,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059582.pdf,,
Alsobrooks,Angela D.,D,MD,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/bfbd49d0-5e32-4f06-9044-a034f48efd18/,,
Amo,Gabe,D,RI,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076093.pdf,,
Amodei,Mark E.,R,NV,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075736.pdf,,
Ansari,Yassamin,D,AZ,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078188.pdf,,
Arenholz,Ashley,R,IA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076278.pdf,,
Armstrong,Kelly,R,ND,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057429.pdf,,
Arrington,Jodey C.,R,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078577.pdf,,
Auchincloss,Jake,D,MA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10073339.pdf,,
Babin,Brian,R,TX,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076043.pdf,,
Bacon,Don,R,NE,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075432.pdf,,
Baird,James R.,R,IN,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078375.pdf,,
Balderson,Troy,R,OH,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075720.pdf,,
Baldwin,Tammy,D,WI,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/26e96ef6-eee0-41ec-a500-9dcd734e92c1/,,
Balint,Becca,D,VT,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075825.pdf,,
Banks,Jim,R,IN,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/b12439ea-8513-4059-9ef3-a37326e7297c/,,
Barr,Andy,R,KY,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074914.pdf,,
Barragan,Nanette Diaz,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078029.pdf,,
Barrasso,John,R,WY,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/1df9baca-d6f2-4de4-be9d-55027b3001df/,,
Barrett,Tom,R,MI,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081387.pdf,,
Baumgartner,Michael,R,WA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075625.pdf,,
Bean,Aaron,R,FL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078008.pdf,,
Beatty,Joyce,D,OH,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076774.pdf,,
Bell,Wesley,D,MO,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077038.pdf,,
Bennet,Michael F.,D,CO,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/61c2ebe1-75dc-4689-b411-143a26a8c103/,,
Bentz,Cliff,R,OR,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075533.pdf,,
Bera,Ami,D,CA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081578.pdf,,
Bergman,Jack,R,MI,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076771.pdf,,
Beyer,Donald S.,D,VA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075444.pdf,,
Bice,Stephanie I.,R,OK,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077486.pdf,,
Biggs,Andy,R,AZ,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076619.pdf,,
Biggs,Sheri,R,SC,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10075607.pdf,,
Bilirakis,Gus M.,R,FL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/9116162.pdf,,
Bishop,Dan,R,NC,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062570.pdf,,
Bishop,Sanford D.,D,GA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077628.pdf,,
Blackburn,Marsha,R,TN,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/b1c40a20-23b4-4dcb-ad3e-dfa8c0e00e71/,,
Blumenauer,Earl,D,OR,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059735.pdf,,
Blumenthal,Richard,D,CT,senate,current,False,2026,https://efdsearch.senate.gov/search/view/paper/a5124b02-61d5-4ae4-8ba9-03c0a9de040e/,,
Blunt Rochester,Lisa,D,DE,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/a1efffdb-c810-48e4-ac20-08c77313fc71/,,
Boebert,Lauren,R,CO,house,current,False,2024,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2024/10070343.pdf,,
Bonamici,Suzanne,D,OR,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10074745.pdf,,
Booker,Cory A.,D,NJ,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/55f811f9-464f-4666-8560-f4bb7c06d284/,,
Boozman,John,R,AR,senate,current,False,2026,https://efdsearch.senate.gov/search/view/annual/9301d6c7-6266-4211-abb6-3dad99b92cf6/,,
Bost,Mike,R,IL,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10076261.pdf,,
Bowman,Jamaal,D,NY,house,past,False,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060343.pdf,,
Boyle,Brendan F.,D,PA,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10081432.pdf,,
Braun,Mike,R,IN,senate,past,False,2024,https://efdsearch.senate.gov/search/view/annual/31b2b826-95a2-4da8-b850-4a472b284a73/,,
Brecheen,Josh,R,OK,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10077410.pdf,,
Brown,Sherrod,D,OH,senate,past,False,2024,https://efdsearch.senate.gov/search/view/annual/0091a0e6-17d3-4a52-963a-fc1db3c5d80f/,,
Brown,Shontel M.,D,OH,house,current,False,2025,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2025/10078356.pdf,,
